Unloaded Date,Unloaded Timestamp,Warehouse Id,Shipment Id,Business Owner,ASIN,Order Id,Unloaded Quantity,PO Quantity
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S5HCBW,7JQA8HDW,4,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S5DMHS,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S57B5C,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S52L4C,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S52L3M,7JQA8HDW,4,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S52GPN,7JQA8HDW,2,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S4YXZV,7JQA8HDW,4,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S4Y5LR,7JQA8HDW,2,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S4XY9S,7JQA8HDW,1,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S4TXMQ,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S4SBPJ,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S4RM14,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S4RHZ4,7JQA8HDW,4,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S4K5XC,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S4G49Z,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S4FM9H,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S4DBHF,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S4CGTL,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S4C8SY,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S49MPL,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S49FQY,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S49FPS,7JQA8HDW,3,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S475D5,7JQA8HDW,5,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S451JQ,7JQA8HDW,2,5
28-нжднж,28/06/2026 07:00,SPX5,137849044591,RETAIL,B0H2S44FPD,7JQA8HDW,5,5
